소장구분,소장품번호,세부번호,유물명,한자명칭,국적/시대,재질,용도,크기,출토지,지정구분,설명
국립1-부여-부여,71,0,石製棟端飾瓦,마루장식기와,한국-백제,석-화강암,주-건축부재-지붕재,"높이 28,길이 35.8,두께 5.4",충청남도-부여군-부여읍 관북리 부소산 서복사지,," 충남 부여군 부여읍 관북리 부소산 서복사지(폐사지)에서 출토되었으며, 하단 양단의 모서리 부분을 제외한 대부분은 양호하다. 이 기와는 목조건물의 내림마루 끝에 사용되는 것으로서 석제와 토제 두종류로 나타난다. 형태는 圓 頭長方形이고, 석질은 화강암제이며, 둥근 부분의 상면 중앙에 '丁'자형 음각홈이 있어 철선으로 연결시켜 고정시킬수 있도록 고안된 것이다. 前面에는 상·하·좌·우·의 圓形으로 도안화된 6엽의 무문연화문 형식으로 깊게 刻出한 상태이다. 기 언급한 '丁'자형의 음각홈은 크기에 있어 길이 6.5cm, 깊이 2.0cm이며, 비교적 정교하게 刻出한 상태이다. 전반적인 형태는 차륜식이고, 각 연판형태는 음각된 삼각형식이다. 이러한 장식기와로 쓰였던 문양은 귀형문, 연화문등이 있고, 기와형태는 조금 다양하게 나타난다. 또한 이러한 형식의 기와는 일본 비조시대의 나라 범륭사에서 출토된 8엽연화문귀면와에 직접적인 영향을 준 것으로 보인다. 이와 비슷한 양식으로서는 부여 쌍북리 출토 원두장방형에 十'자형 양각화문이 있다."
국립1-부여-부여,88,2,磨製石鏃,돌화살촉,한국-청동기,석-점판암,군사-근력무기-궁시,"길이 7.2,길이 11.4,너비 1.4,너비 1.8",충청남도-부여군-부여읍 군수리,," 二段莖式 돌화살촉(磨製石а)이다. 세점 모두 완형이며 유물상태가 좋다. 촉머리는 뾰족하게 형성되었으며, 몸체와 첫번째 슴베까지에는 등날이 형성되어 있다. 날부분은 날카롭게 형성되었고, 몸체 하단에는 날개가 형성되어 있다. 몸체의 단면형태는 마름모꼴이고, 첫번째 슴베의 단면형태는 육각형, 두번째 슴베의 단면형태는 원형이다. 표면에는 갈아낸 흔적이 남아있고, 암질은 회흑색을 띠는 점판암이다."
국립1-부여-부여,90,0,紡錘車,가락바퀴,한국-청동기,석-점판암,산업/생업-공업-염직,"지름 6.5,두께 0.3,구멍지름 1",충청남도-부여군-규암면 오수리,," 石製 紡錘車(가락바퀴) 1점으로, 측면이 약간 파손되어 있다. 크기는 전체지름 6.5cm, 안구멍지름 1.0cm, 두께 0.3cm이다. 평면이 원형을 띠고 있으며, 윗면과 아래면의 중심부가 약간 볼록하게 솟아있다. 중앙에 하나의 구멍이 관통되어 있으나, 다른 가락바퀴와는 달리 그 위치가 중심부에서 약간 벗어나 있다. 표면 전체는 마연한 흔적이 뚜렷한데, 특히 한쪽면이 불규칙한 방향으로 磨硏된 모습이 뚜렷하고, 측면도 각이 지게 마연 처리하였다. 흑회색 점판암제이다. "
국립1-부여-부여,97,0,'一斤'銘石製鎔范,일근명 돌거푸집,한국-백제,석-기타,산업/생업-공업-야금,"길이 17,최대지름 13.7,두께 4.8,두께 6.5",충청남도-부여군-부여읍 가탑리,," '一斤'銘石製鎔范으로 완형이다. 一斤 무게의 錘를 鑄造하기 위한 용범으로 정교하게 마연한 다음 5.3×9.5cm 크기의 장방형의 造型을 파고 그 네변에 깊이 0.9cm의 홈을 돌렸으며, 안의 깊이는 위가 0.65, 아래 0.8로 비스듬한 면이 있다. 상단에 치우쳐 지름 0.5cm의 음각된 원뿔모양의 구조가 있으며 그 바로 아래, 거꾸로 음각된 '一斤'銘이 있다. 상단 외부에는 주물을 넣기 위해 만든 注口가 있으며, 그 양쪽에 두개씩 음각선이 있는데 용도는 정확히 알수 없다. 雙合范으로 생각되나 확실하지는 않다."
국립1-부여-부여,101,0,百濟砂宅智積堂塔碑,사택지적비,한국-백제,석-화강암,사회생활-기념-비,"현재높이 109,너비 36,두께 28",충청남도-부여군-부여읍 관북리,도지정," 이 석비는 글자를 새기기 쉬운 양질의 화강암 한면을 편평하게 잘 다듬어서 가로·세로의 井間을 나누어서 그안에 한글자씩 비문을 음각했는데 각행이 세로로 14자씩의 명문이며 현재는 4행만이 남아있다. 정간은 정방형으로 한변이 7cm이다. 이러한 井間內에 문자 投入式은 삼국시대 古碑에서 공통적으로 나타나는 형식이다. 사택지적비는 오른쪽 상부에 있는 직경 2cm의 圓內에 봉황문을 음각하고 圓周線內에 朱色을 칠한 흔적이 남아있는데, 이는 이수에 磻龍을 조각하기전 봉황을 조식한 중국의 형식을 받아들인 결과로 보인다. 이러한 점에서는 사택지적비가 새로운 형태의 석비라 하겠다. 현존 4行의 비문은 다음과 같다. [[甲寅年正月九日奈씨城砂宅智積 慷身日之易往慨體月之難還 穿金 以建珍堂鑿玉以立寶塔巍巍慈容 土神光以送雲峨我悲貌含聖明以]] 비문에 있어서는 중군 육조시대의 사육변려체된 동시에 字體도 雄建한 毆陽詢體이며 同代의 신라 금석문과 비교해보면 백제문화의 발달상을 짐작할 수 있다. 이것을 간단히 말하면 ""奈씨城의 砂宅智積이 몸이 날과 달로 늙어감을 한탄하여 金으로 佛堂과 玉으로 塔波를 만들어 세우니 그 建造物의 偉觀이 壯嚴하다.""는 뜻이라 하겠다. 비문에서 지적한 '奈씨城'은 부여읍 사삼십리의 은산면 내지리로 추측되며 '砂宅智積'은 이곳의 城主가 아니었던가 한다. 初行에 '甲寅年正月九日'이라고 干支로 연호를 대신하였고, 사택지적은 {일본서기} 卷第24 皇極天皇壬寅年七月條에 '饗百濟使人大佐平智積等於朝'라는 기록을 참조하면 백제 의자왕 14년(A.D 654) 건립으로 추정된다. 이 석비는 비록 斷石이나 당시의 文體와 書法 및 비문의 양식, 여기에 나오는 인물, 특히 堂塔을 奉安한다는 불교미술적인 면등 백제사 연구의 귀중한 금석문으로 史科的 가치가 매우 크다."
국립1-부여-부여,110,0,四耳附壺,네귀달린 항아리,한국-백제,토제-경질,식-음식기-저장운반,"높이 43.3,입지름 19.5,바닥지름 14.1",,," 네귀달린 항아리(四耳附壺)로서 완형이다. 입술은 거의 平外反되고, 입술 바로 아래에는 한줄의 突帶가 돌려져 홈이 있는 입술 段을 형성하고 있다. 목은 나팔형으로 벌어지는데, 몸체와 연결되는 목의 아래부분은 매우 좁아 甁으로 보아도 무방하겠다. 목에는 두줄의 波狀文이 음각되었으며, 몸체와 이어지는 부분에도 한줄의 突帶가 돌려져 있다. 몸체는 중간보다 약간 윗쪽에서 최대폭을 형성하고 아래로 가면서 폭이 좁아지다가 편평한 바닥과 만난다. 어깨 부분에는 4개의 귀가 붙어있는데, 도구로 깎아내어 각이 져 있으며 횡방향으로 작은 원형구멍이 뚫려있다. 몸체에는 일정 간격으로 5條의 평행음각선대가 돌려져 있으며 그 사이에는 波狀文이 음각되어 있다. 입의 윗면과 목 및 어깨부분에는 녹갈색의 自然釉가 묻어있고, 색깔은 회흑색이며 경질이다."
국립1-부여-부여,111,3,器臺片,그릇받침조각,한국-백제,토제-경질,식-음식기-기타,"높이 18.4,지름 12.5,높이 10.5,너비 12.1",충청남도-부여군-부여읍 능산리,," 기대편으로, 파손이 심하여 목부분만 잔존한다. 남아있는 목부분 전면에 녹유가 시유되어 있으며, 몸통은 돌대선에 의하여 몇등분으로 나누어진 것으로 추정되는데 그중에서 2단만 남아있는 것이다. 현재 남아있는 아랫단은 일부분이지만 고사리 무늬가 4근데 걸쳐 등간격으로 배치되어 있고, 2줄의 돌대선을 사이에 두고 몇단에도 같은 곳에 고사리 무늬가 맞닿는 곳에는 좀 큰 단추를 붙였다. 또 맨 윗단에는 고사리 무늬 사이사이에 원형구멍을 뚫어서 장식하였고, 목어깨 부위에는 등간격으로 4개의 작은 단추를 붙였다. 그릇 받침 바로 밑에는 방형의 누른 무늬를 돌려 시문하였다. "
국립1-부여-부여,114,0,把手付有蓋壺,뚜껑항아리,한국-백제,토제-경질,식-음식기-저장운반,"높이 7.5,입지름 7.7,바닥지름 7",,," 평저(平底)와 직립단경(直立短頸)에 뚜껑이 있고 손잡이가 달려있는 그릇이다. 어깨가 넓고 밑이 좁아졌으며, 견부(肩部)에 붙어있는 손잡이는 기신(器身)을 성형(成形)한 후 부착한 흔적이 남아있다. 손잡이는 끝을 말아 돌려서 동물의 꼬리 형태를 하고 있고, 뚜껑은 상면(上面)이 편평하고 그 중앙에 보주형(寶珠形) 꼭지가 달려있다. 문양은 무문이나 뚜껑 표면에 음각선대를 돌린 흔적이 희미하게 남아있다. 색조는 회색이고 소성·화도(火度)는 경질이다."
국립1-부여-부여,116,0,注口土器 ,주전자모양토기,한국-백제,토제-연질,식-음식기-기타,"높이 20,입지름 3,바닥지름 14",미상,," 주전자모양토기(注口土器)로서, 손잡이 및 목부분의 일부가 결실된 상태이다. 몸체 윗부분에서 최대폭을 형성하여 넓은 어깨를 형성하며, 어깨에는 굵은 홈이 두줄 돌려져 있다. 어깨 양측면에는 턱을 갖춘 넓은 注口孔이 형성되어 있으며, 주구턱은 따로 제작하여 붙인 것이다. 그 사이에는 손잡이가 부착되어 있는데, 한쪽은 끝부분이 약간 깨져나간 상태이고, 다른 한쪽은 완전히 결실되고 부착되었던 원형의 자국만 남아있다. 몸체는 아래로 가면서 약간씩 폭이 좁아지고, 몸체 하단부에도 굵은 홈이 한줄 돌려져 있으며, 바닥은 편평하다. 무늬는 없고 표면에는 빗질자국 같은 것이 남아있다. 색깔은 백색이고 연질이며 태토에는 작은 모래알갱이가 섞여있다."
국립1-부여-부여,222,0,蓮花過雲文塼,연화운문전,한국-백제,토제-경질,주-건축부재-벽/바닥재,"가로 28.8,세로 29.3,두께 4.2",충청남도-부여군-규암면 외리,," 충남 부여군 규암면 외리유적에서 출토된 8종의 문양전중 한 종류로서 상태가 양호하며, 경질에 고운 점토로 제작된 전류이다. 형태는 방형이고, 넓은 면의 양면중 一面에 연화문과 過雲文이 장식된 상태이다. 회색 경질에 사립이 다소 함유된 사질토이며, 한측면이 결실되었다. 이 문양전은 전면 중앙을 蓮花文區와 過雲文區를 連珠文을 장식한 環文帶로 구성한 형식이다. 연화문구는 8葉의 中肉한 원형의 素瓣蓮花文으로 조성하고 넓은 子房을 두고 있다. 과운문구는 같은 방향으로 흘러 구름 8송이를 圖案化하여 장식하고 있다. 外周의 環文帶 構成과 四隅角의 문양 장식은 十자형의 花文을 이룰수 있는 花瓣을 장식하였다. 이 문양전은 백제의 전형적인 연화문 구성의 特徵과 方形文樣塼 특유의 곡선적이고 율동적인 문양 구성의 특징으로 이루어진 도안화된 과운문이 만나고, 또한 땅(연꽃)과 하늘(구름)의 두 세계가 만났으되, 簡潔하면서도 서로 조화와 均衡을 이루고 있어 새로운 백제 와전문의 구성 형식으로 등장된 塼例가 되는 것이다. "
국립1-부여-부여,223,2,鬼形文塼,,한국-백제,토제-경질,주-건축부재-벽/바닥재,"가로 28.8,세로 29.4,두께 4.1",충청남도-부여군-규암면 외리 ,," 충남 부여군 규암면 외리유적에서 8가지 유형의 방형 문양전이 1937년 3월에 다량으로 출토된 바 있는 독특한 문양전이다. 형태는 보도블럭 형식의 방형이고 넓은 면의 일면에 갖가지 문양이 있으나 여기서는 귀형문전에 대해서 다루기로 한다. 蓮花臺 위에 정면으로 직립하고 있는 도깨비 형상으로서 전신의 크기에 비하여 머리부분이 크게 묘사되었는데, 눈은 크게 부릅떠 치켜 올라가고 입을 크게 벌려 아래 위의 송곳니가 날카롭게 뻗었으며, 얼굴 양면에는 더부룩하게 수염이 뻗쳤고 양어깨에도 갈기와 같이 털이 뻗쳐 있다. 가슴에는 큰 乳房에 乳頭가 크게 표현되었고, 허리에는 環飾이 매달린 ㉻帶가 둘려졌는데, 가운데에는 腰佩의 긴 垂飾이 내려왔다. 앞발에는 근육이 울퉁불퉁하게 융기되고 날카로운 발톱이 달렸다. 뒷다리도 울퉁불퉁한 근육과 골격을 나타내었고, 각각 날카로운 4개의 발톱으로 버티고 서 있는 형상은 마치 천지를 제압하려는 모습이다. 이 鬼形이 버티고 서 있는 연화대는 尖端의 單瓣蓮葉으로서 판단이 약간 내반된 형식을 보여주는데, 이러한 연화문은 매우 古式의 형식인 것이다. 특히, 흥미로운 것은 허리에 둘려진 과대와 요패의 양식인데, 이러한 裝身具는 삼국시대 고분 출토품 가운데에서 다수 찾아볼 수 있는 것이어서 이러한 장신구가 지니는 儀式에 따른 用途를 이해할 수 있는 좋은 자료라 할 수 있다. 또한, 이전의 下端의 두 모퉁이(兩隅)에는 三山形 산봉우리가 구름 위에 솟아 있는 형상을 반으로 나누어 배치함으로써 이와 같은 벽돌을 연결하여 연속무늬로 배열할 수 있도록 고안되고 있다."
국립1-부여-부여,224,0,鳳凰文塼,봉황문전,한국-백제,토제-경질,주-건축부재-벽/바닥재,"가로 26.5,세로 29.4,두께 4.2",충청남도-부여군-규암면 외리,,"충남 부여군 규암면 외리유적에서 출토된 8종의 문양전중 하나이다. 한측면이 1/5내외로 결실된 상태로서 전시된 유물이며, 갈색 경질에 고운 점토로 성형되었으며, 방형에 넓은 면의 양면중 一面에 문양이 있는 전이다. 주문대로 구성된 둥근 테두리 안에 매우 율동적이고도 곡선미가 넘치는 상상의 동물인 봉황 한마리가 자연스레 배치되었다. 머리 모습은 닭의 머리를 닮았으나, 부리는 독수리나 매의 부리처럼 날카롭게 구부러져 염험한 느낌을 주고 있다. 꼬리는 머리부터 S자 모양으로 구부러져 원형을 이루고 있어 회전하는 듯한 동작감을 준다. 몸체는 비늘이 사실적으로 묘사되었으며 전체적으로는 유기선으로 윤곽을 나타내고 있어 매우 강렬한 인상을 느낄 수 있다. 날개는 머리 위로 둥글게 치켜 올라가서 원을 그렸고 왼쪽 날개는 밑으로 향한 모습이다. 봉황문 둘레에는 주연을 마련한 후 연주문을 돌렸다. 모서리 四隅에는 십자형의 화엽이 장식된 상태이다. 기타 측면이나 후면은 특별한 문양은 확인되지 않는다."
국립1-부여-부여,225,0,蟠龍文塼,반용문전,한국-백제,토제-경질,주-건축부재-벽/바닥재,"가로 29.2,세로 29.1,두께 4.7",충청남도-부여군-규암면 외리,," 충남 부여군 규암면 외리유적에서 출토된 8종의 문양전중 하나인 반용문전이다. 四隅중 세측면이 결실된 상태의 흑색 경질에 사질토로 성형된 것으로 四隅에는 十자 형식을 띤 半蓮花文이 양각되었고, 그안에는 2조의 양각원권내에 수십개의 연주문이 돌려졌다. 연주문내에는 익살스럽게 표현된 용문이 양각되었으며, 모습은 S자 형태로 머리는 45˚로 쳐든 상태에서 입을 벌리고 4개의 뾰족한 송곳니가 드러나 있다. 머리의 뿔은 Y자 모양이며, 몸체 부분에는 4개의 足과 날카로운 발톱이 표현되었다. 용문을 중심으로 주변에는 雲文이 표현된 것으로서 전반적으로 균형과 조화가 있는 문양전이라 하겠다."
국립1-부여-부여,249,2,瓦當,와당,한국-백제,토제-연질,주-건축부재-지붕재,"지름 14.5,두께 1.5",충청남도-부여군-은산면 금곡리 금강사지,," 회흑색 연질의 수막새 기와로, 드림새지름은 14.5cm, 두께는 약 1.5cm이다.주연부가 다른것에 비해 굉장히 얇고 좁다. 드림새에는 八葉의 蓮花文이 장식되었으며 蓮房이 낮게 표시되어 있다. 지름은 약 5cm 정도이고 蓮子가 희미하게 관찰된다. 드림새 내면은 울퉁불퉁하고, 등기와와 연결했던 부분이 보이고, 다른쪽에는 일그러진 모습이 보인다. 태토는 점토질로 석영 운모가 혼입되어 있다."
국립1-부여-부여,284,11,蓮花文瓦當,연꽃무늬수막새,한국-백제,토제-경질,주-건축부재-지붕재,"현재지름 17.3,높이 2",충청남도-부여군-부여읍 구아리 井址,," 圓瓦는 완파되었으며, 圓瓦(등기와)가 접합되었던 주연부 측면 2/3가 결실된 상태의 회백색 경질이고 고운 점토로 제작된 수막색 기와이다. 구성은 주연부, 연판부, 자방부로 구분되며, 주연은 1.1cm 높이에 上面은 무문이고, 판내 외곽에는 좁은 구상권이 돌려졌다. 판내에는 8엽의 단판연화문이 장식되었고, 연단의 중앙은 삼각돌기형식으로 반전되었다. 판간의 세선은 자방의 원권과 연결되어 있고, 연단에 이르러 삼각돌기로 반전되었다. 자방은 平面에 1조의 양각원권을 돌려 그안에 9과(1+8)의 연자를 배치한 상태이다. 판내 구성으로 미루어 형식은 판단장식형에 삼각돌기식이다. 후면은 조금 볼록하고 정제되었으며, 수키와 접합흔이 있다. 접합방법은 주연 2/3를 제거한후 등기와를 밀어 접합한 후 내면 모서리 부분을 점토로 보강처리한 백제시대 막새 유형이다."
국립1-부여-부여,284,12,蓮花文瓦當,연꽃무늬수막새,한국-백제,토제-연질,주-건축부재-지붕재,"지름 16.2,높이 2",충청남도-부여군-부여읍 구아리 井址,," 圓瓦는 완파되었고, 드림새면의 주연 일부는 박락된 상태의 회색 연질의 수막새기와이다. 판내의 구성은 外區의 주연부, 內區의 연판부로 구분되며, 주연부는 높이 1.0cm에 上面은 무문이고, 판내 외곽에는 0.6cm 너비의 구상권대(홈)가 마련되었다. 문양면에는 8엽의 단판연화문이 장식되었고, 연단은 하트형식이며, 판간의 세선은 자방과 연결되어 연단에 이르러 반전된 삼각돌기 형식이다. 넓은 원판형 자방내에는 1과를 중심으로 불규칙하게 연자가 배치되었는데 연자수는 11과(1+10)이다. 드림새 후면은 조금 면이 볼록하고 정제되었으며, 등기와 접합흔이 있다. 접합방법은 주연 측면을 도려내지 않고 그대로 접합한 후 동일한 점토로 내외면을 보강한 상태의 백제시대 막새 형태이다."
국립1-부여-부여,332,0,도가니,도가니,한국-백제,토제-연질,산업/생업-공업-야금,"높이 8.6,입지름 7,높이 13,입지름 10",충청남도-부여군-부여읍 쌍북리,," 도가니로 두점이다. 軟質로 황회색을 띠는데 소성이 극히 양호하며, 태토는 비교적 정선되었으나 사립이 다소 혼입되었다. 한점은 대형인데 완형이며, 나머지 한점은 소형으로 구연이 일부 파손되었다. 두점 모두 동일한 형식으로 底部는 팽이와 같은 尖底이며, 동체는 완만하게 외경하여 구연에 이른다. 口緣端은 평탄한 면을 이루는데 구연의 한쪽은 바깥으로 돌출시켜 注口를 형성하였다. 도가니 바깥에는 쇳물이 약간 묻어있다."
국립1-부여-부여,362,0,木造金箔小塔(목조금박소탑),목재금박소탑,한국-고려,나무-기타,종교신앙-불교-공양,"높이 2.3,높이 4.2",충청남도-부여군-장암면 장하리,," 1962년 부여 장하리 삼층석탑의 파손된 기단부에서 나무상자에 담긴채 발견된 일괄유물중 하나인 木造金箔小塔 3구이다. 5층탑이 2구(높이 4.2cm,3.6cm), 3층탑이 1구(높이 2.3cm)로 전체적으로 금박이 잘 남아있다. 단순화시켜 표현했으나 기단에서 相輪까지 비교적 충실히 나타냈으며 보존상태도 양호하다. 당시 木造金箔小塔과 함께 象牙製阿彌陀佛如來立像 1구, 黑淡盒·銀盒·梵終陀羅尾經 각 1구, 水晶玉·銀小環·銀뒤꽂이등이 출토되었다. "
